N,FPR,M_min,first_order_N_ell_f
327,0.01,2,0.654
350,0.01,2,0.7000000000000001
374,0.01,2,0.748
400,0.01,2,0.8
428,0.01,2,0.8560000000000001
457,0.01,2,0.914
489,0.01,3,0.9780000000000001
523,0.01,3,1.046
559,0.01,3,1.118
598,0.01,3,1.1960000000000002
639,0.01,3,1.2780000000000002
684,0.01,3,1.368
731,0.01,3,1.4620000000000002
782,0.01,3,1.564
836,0.01,3,1.6720000000000002
894,0.01,3,1.7880000000000003
956,0.01,4,1.9120000000000001
1023,0.01,4,2.0460000000000003
1093,0.01,4,2.1860000000000004
1169,0.01,4,2.338
1250,0.01,4,2.5
1337,0.01,4,2.6740000000000004
1430,0.01,5,2.86
1529,0.01,5,3.0580000000000003
1635,0.01,5,3.27
1749,0.01,5,3.498
1870,0.01,6,3.74
2000,0.01,6,4.0
2138,0.01,6,4.276000000000001
2287,0.01,6,4.574000000000001
2445,0.01,7,4.89
2615,0.01,7,5.23
2796,0.01,7,5.5920000000000005
2990,0.01,8,5.98
3198,0.01,8,6.396000000000001
3420,0.01,9,6.84
3657,0.01,9,7.314000000000001
3910,0.01,10,7.82
4182,0.01,10,8.364
4472,0.01,11,8.944
4782,0.01,12,9.564000000000002
5114,0.01,12,10.228000000000002
5468,0.01,13,10.936000000000002
5848,0.01,14,11.696000000000002
6253,0.01,15,12.506000000000002
6687,0.01,15,13.374
7151,0.01,16,14.302000000000001
7647,0.01,17,15.294
8177,0.01,18,16.354000000000003
8745,0.01,20,17.490000000000002
9351,0.01,21,18.702
10000,0.01,22,20.0
50,0.02,2,0.2
53,0.02,2,0.21200000000000002
57,0.02,2,0.228
61,0.02,2,0.24400000000000002
65,0.02,2,0.26
70,0.02,2,0.28
75,0.02,2,0.3
80,0.02,2,0.32
86,0.02,2,0.344
91,0.02,2,0.364
98,0.02,2,0.392
105,0.02,2,0.42
112,0.02,2,0.44800000000000006
120,0.02,2,0.48
128,0.02,2,0.512
137,0.02,2,0.548
146,0.02,2,0.5840000000000001
156,0.02,2,0.6240000000000001
167,0.02,2,0.668
179,0.02,2,0.7160000000000001
191,0.02,2,0.7640000000000001
204,0.02,2,0.8160000000000001
219,0.02,2,0.8760000000000001
234,0.02,2,0.936
250,0.02,3,1.0
267,0.02,3,1.068
286,0.02,3,1.1440000000000001
306,0.02,3,1.224
327,0.02,3,1.308
350,0.02,3,1.4000000000000001
374,0.02,3,1.496
400,0.02,3,1.6
428,0.02,3,1.7120000000000002
457,0.02,3,1.828
489,0.02,4,1.9560000000000002
523,0.02,4,2.092
559,0.02,4,2.236
598,0.02,4,2.3920000000000003
639,0.02,4,2.5560000000000005
684,0.02,4,2.736
731,0.02,5,2.9240000000000004
782,0.02,5,3.128
836,0.02,5,3.3440000000000003
894,0.02,5,3.5760000000000005
956,0.02,6,3.8240000000000003
1023,0.02,6,4.0920000000000005
1093,0.02,6,4.372000000000001
1169,0.02,6,4.676
1250,0.02,7,5.0
1337,0.02,7,5.348000000000001
1430,0.02,8,5.72
1529,0.02,8,6.1160000000000005
1635,0.02,8,6.54
1749,0.02,9,6.996
1870,0.02,9,7.48
2000,0.02,10,8.0
2138,0.02,10,8.552000000000001
2287,0.02,11,9.148000000000001
2445,0.02,12,9.78
2615,0.02,12,10.46
2796,0.02,13,11.184000000000001
2990,0.02,14,11.96
3198,0.02,15,12.792000000000002
3420,0.02,16,13.68
3657,0.02,17,14.628000000000002
3910,0.02,18,15.64
4182,0.02,19,16.728
4472,0.02,20,17.888
4782,0.02,21,19.128000000000004
5114,0.02,23,20.456000000000003
5468,0.02,24,21.872000000000003
5848,0.02,25,23.392000000000003
6253,0.02,27,25.012000000000004
6687,0.02,29,26.748
7151,0.02,31,28.604000000000003
7647,0.02,33,30.588
8177,0.02,35,32.708000000000006
8745,0.02,37,34.980000000000004
9351,0.02,40,37.404
10000,0.02,42,40.0
