M,d,A_star,rho_star
1,3.01,0.00474010845382472,0.00474010845382472
1,3.0327853881278535,0.012217519485194726,0.012217519485194726
1,3.0555707762557076,0.01958341242386313,0.01958341242386313
1,3.0783561643835613,0.02684026357493202,0.02684026357493202
1,3.1011415525114154,0.03399047646569436,0.03399047646569436
1,3.123926940639269,0.0410363844997757,0.0410363844997757
1,3.1467123287671233,0.047980253495968066,0.047980253495968066
1,3.169497716894977,0.05482428411755308,0.05482428411755308
1,3.192283105022831,0.061570614197589295,0.061570614197589295
1,3.2150684931506848,0.06822132096531247,0.06822132096531247
1,3.2378538812785385,0.0747784231785477,0.0747784231785477
1,3.2606392694063926,0.08124388316669912,0.08124388316669912
1,3.2834246575342463,0.0876196087886803,0.0876196087886803
1,3.3062100456621004,0.09390745530988613,0.09390745530988613
1,3.328995433789954,0.10010922720207953,0.10010922720207953
1,3.3517808219178082,0.10622667986986604,0.10622667986986604
1,3.374566210045662,0.11226152130722206,0.11226152130722206
1,3.3973515981735156,0.11821541368736925,0.11821541368736925
1,3.4201369863013698,0.12408997488908918,0.12408997488908918
1,3.4429223744292234,0.12988677996243575,0.12988677996243575
1,3.4657077625570776,0.13560736253662903,0.13560736253662903
1,3.4884931506849313,0.14125321617277475,0.14125321617277475
1,3.5112785388127854,0.14682579566390955,0.14682579566390955
1,3.534063926940639,0.15232651828476512,0.15232651828476512
1,3.556849315068493,0.15775676499348662,0.15775676499348662
1,3.579634703196347,0.16311788158746438,0.16311788158746438
1,3.602420091324201,0.16841117981529014,0.16841117981529014
1,3.6252054794520547,0.17363793844679112,0.17363793844679112
1,3.6479908675799084,0.1787994043029583,0.1787994043029583
1,3.6707762557077626,0.1838967932475141,0.1838967932475141
1,3.6935616438356162,0.18893129114178256,0.18893129114178256
1,3.71634703196347,0.19390405476443254,0.19390405476443254
1,3.739132420091324,0.19881621269759103,0.19881621269759103
1,3.761917808219178,0.20366886618075455,0.20366886618075455
1,3.784703196347032,0.2084630899338556,0.2084630899338556
1,3.8074885844748856,0.2131999329507782,0.2131999329507782
1,3.8302739726027397,0.2178804192645432,0.2178804192645432
1,3.8530593607305934,0.22250554868535516,0.22250554868535516
1,3.875844748858447,0.22707629751260755,0.22707629751260755
1,3.8986301369863012,0.23159361922192093,0.23159361922192093
1,3.9214155251141554,0.2360584451282345,0.2360584451282345
1,3.944200913242009,0.24047168502590527,0.24047168502590527
1,3.9669863013698627,0.24483422780675684,0.24483422780675684
1,3.989771689497717,0.24914694205694482,0.24914694205694482
1,4.012557077625571,0.2534106766334863,0.2534106766334863
1,4.035342465753424,0.2576262612212599,0.2576262612212599
1,4.058127853881278,0.26179450687123934,0.26179450687123934
1,4.0809132420091325,0.26591620652069603,0.26591620652069603
1,4.103698630136986,0.26999213549607376,0.26999213549607376
1,4.12648401826484,0.2740230519991992,0.2740230519991992
1,4.149269406392694,0.2780096975774758,0.2780096975774758
1,4.172054794520548,0.281952797578667,0.281952797578667
1,4.194840182648402,0.2858530615908609,0.2858530615908609
1,4.2176255707762556,0.28971118386817263,0.28971118386817263
1,4.24041095890411,0.29352784374272,0.29352784374272
1,4.263196347031963,0.2973037060233884,0.2973037060233884
1,4.285981735159817,0.3010394213818826,0.3010394213818826
1,4.308767123287671,0.3047356267265176,0.3047356267265176
1,4.331552511415525,0.3083929455642219,0.3083929455642219
1,4.3543378995433795,0.3120119883511708,0.3120119883511708
1,4.377123287671233,0.3155933528324689,0.3155933528324689
1,4.399908675799087,0.3191376243712783,0.3191376243712783
1,4.42269406392694,0.3226453762677727,0.3226453762677727
1,4.445479452054794,0.32611717006828217,0.32611717006828217
1,4.468264840182648,0.3295535558649803,0.3295535558649803
1,4.4910502283105025,0.3329550725864497,0.3329550725864497
1,4.513835616438357,0.33632224827944174,0.33632224827944174
1,4.53662100456621,0.33965560038215253,0.33965560038215253
1,4.559406392694064,0.3429556359893005,0.3429556359893005
1,4.582191780821917,0.34622285210929415,0.34622285210929415
1,4.604977168949771,0.34945773591376833,0.34945773591376833
1,4.6277625570776255,0.3526607649797496,0.3526607649797496
1,4.65054794520548,0.3558324075246953,0.3558324075246953
1,4.673333333333334,0.35897312263466735,0.35897312263466735
1,4.696118721461187,0.36208336048585404,0.36208336048585404
1,4.718904109589041,0.36516356255968124,0.36516356255968124
1,4.741689497716894,0.36821416185171485,0.36821416185171485
1,4.7644748858447485,0.371235583074578,0.371235583074578
1,4.787260273972603,0.3742282428550628,0.3742282428550628
1,4.810045662100457,0.37719254992564727,0.37719254992564727
1,4.832831050228311,0.3801289053105913,0.3801289053105913
1,4.855616438356164,0.38303770250679553,0.38303770250679553
1,4.878401826484018,0.3859193276595901,0.3859193276595901
1,4.9011872146118725,0.38877415973361856,0.38877415973361856
1,4.923972602739726,0.3916025706789784,0.3916025706789784
1,4.94675799086758,0.39440492559277446,0.39440492559277446
1,4.969543378995434,0.3971815828762196,0.3971815828762196
1,4.992328767123288,0.3999328943874406,0.3999328943874406
1,5.015114155251141,0.4026592055901125,0.4026592055901125
1,5.0378995433789955,0.405360855698066,0.405360855698066
1,5.060684931506849,0.40803817781598367,0.40803817781598367
1,5.083470319634703,0.410691499076312,0.410691499076312
1,5.106255707762557,0.41332114077251153,0.41332114077251153
1,5.129041095890411,0.41592741848875275,0.41592741848875275
1,5.151826484018265,0.41851064222617007,0.41851064222617007
1,5.174611872146119,0.4210711165257817,0.4210711165257817
1,5.197397260273973,0.42360914058817334,0.42360914058817334
1,5.220182648401826,0.4261250083900531,0.4261250083900531
1,5.24296803652968,0.42861900879776027,0.42861900879776027
1,5.265753424657534,0.43109142567783226,0.43109142567783226
1,5.288538812785388,0.4335425380047112,0.4335425380047112
1,5.311324200913242,0.4359726199656773,0.4359726199656773
1,5.3341095890410966,0.4383819410630957,0.4383819410630957
1,5.35689497716895,0.4407707662140513,0.4407707662140513
1,5.379680365296804,0.44313935584745306,0.44313935584745306
1,5.402465753424657,0.4454879659986787,0.4454879659986787
1,5.425251141552511,0.4478168484018389,0.4478168484018389
1,5.4480365296803654,0.45012625057972105,0.45012625057972105
1,5.47082191780822,0.45241641593148946,0.45241641593148946
1,5.493607305936074,0.4546875838181999,0.4546875838181999
1,5.516392694063927,0.45693998964619864,0.45693998964619864
1,5.539178082191781,0.459173864948459,0.459173864948459
1,5.561963470319634,0.46138943746391925,0.46138943746391925
1,5.5847488584474885,0.4635869312148845,0.4635869312148845
1,5.607534246575343,0.4657665665825307,0.4657665665825307
1,5.630319634703197,0.467928560380585,0.467928560380585
1,5.653105022831051,0.4700731259272202,0.4700731259272202
