process,A,M,rho,d,Q_mean,Q_sd
poisson,1.2,3,0.39999999999999997,4.0,0.9776640000000001,0.0012366406106868715
batch2,1.2,3,0.39999999999999997,4.0,0.969544,0.002028960324895464
batch4,1.2,3,0.39999999999999997,4.0,0.9337439999999999,0.0032791889241091552
batch8,1.2,3,0.39999999999999997,4.0,0.8025080000000001,0.00838628165517951
mmpp,1.2,3,0.39999999999999997,4.0,0.9564239999999999,0.001792673980399146
