candidate_load_L,policy,threshold,gamma,C,critical_recall,referral_fraction,FPR,mean_outstanding,max_outstanding,C_sd
8,Fixed + FCFS,1.7000000000000006,0.0,0.8888466166129125,0.9126514324738115,0.053245,0.04453662489200263,0.712025,7.2,0.020836737335908267
8,Score priority,1.6000000000000005,0.0,0.9035961328838205,0.9284109468342565,0.063955,0.05519370398578407,0.91585,9.0,0.020431277918511324
8,QAR,1.5,0.3,0.9077365445503359,0.9355531363792459,0.07213,0.06338067952494232,1.0128949999999999,5.6,0.013284791734143472
8,QAR + score priority,1.5,0.05,0.9126852717057895,0.9389885159251439,0.0749,0.0661435479841789,1.124015,8.6,0.018278100440722672
10,Fixed + FCFS,1.7000000000000006,0.0,0.8778408685967186,0.9048061704840235,0.053225,0.044577706155504035,0.9870149999999999,9.2,0.02277398965972537
10,Score priority,1.6000000000000005,0.0,0.89479740090472,0.9222823585510536,0.063915,0.055199611303768194,1.29765,11.4,0.021874961977880428
10,QAR,1.5,0.3,0.8952061721311425,0.9234559905551333,0.069385,0.060714766483576876,1.281345,6.2,0.015160942403458286
10,QAR + score priority,1.5,0.05,0.9025151702890621,0.9328886450891755,0.07357999999999999,0.06485648949880773,1.530865,9.8,0.015330801589470927
12,Fixed + FCFS,1.7000000000000006,0.0,0.8725155058072087,0.9049836736641403,0.05323,0.044568291897965094,1.3041699999999998,11.8,0.02002257166562534
12,Score priority,1.6000000000000005,0.0,0.890884373950412,0.9203141221114441,0.06394,0.05523073719081149,1.826425,14.8,0.023323779555998028
12,QAR,1.5,0.3,0.8764636614422152,0.908867624174414,0.06661999999999998,0.05805394762143754,1.55443,6.0,0.019335736441511747
12,QAR + score priority,1.5,0.05,0.895443450632681,0.9257899753055057,0.071855,0.06317052954207358,2.0364050000000002,11.4,0.02097557183442946
14,Fixed + FCFS,1.7000000000000006,0.0,0.8613367574833137,0.9191516963053908,0.05335000000000001,0.04452903238692606,1.6658899999999999,12.6,0.021235348117080968
14,Score priority,1.6000000000000005,0.0,0.8920682651141135,0.9360347313330856,0.0641,0.05521699711463716,2.4394050000000003,16.4,0.019893222864261432
14,QAR,1.5,0.3,0.8750725791899662,0.9203472089580892,0.063625,0.05489884942518952,1.7801399999999998,7.0,0.018552050265074903
14,QAR + score priority,1.5,0.05,0.8957642631182565,0.9400348022830614,0.06985,0.06098514269073518,2.5513850000000002,12.4,0.012509729090048128
16,Fixed + FCFS,1.7000000000000006,0.0,0.8423557238316972,0.9121794156977551,0.05333,0.04455056170021991,2.14423,17.0,0.022488306061437254
16,Score priority,1.6000000000000005,0.0,0.8847083267203064,0.9253740372282394,0.06404499999999999,0.05523885589296525,3.379955,24.4,0.017885196259113625
16,QAR,1.5,0.3,0.8666435878430233,0.9073689013734297,0.06074999999999999,0.05209712065164973,1.995625,7.2,0.018358083783822903
16,QAR + score priority,1.5,0.05,0.8852825078980244,0.9262321663186155,0.067725,0.05894637529685178,3.0731399999999995,14.0,0.017538893480645034
18,Fixed + FCFS,1.7000000000000006,0.0,0.7798036726354627,0.9066903451542421,0.053369999999999994,0.044637098218202206,2.92074,18.8,0.03265444646980928
18,Score priority,1.6000000000000005,0.0,0.8558378681214472,0.9186044796231145,0.064055,0.05531041449800831,4.968014999999999,26.8,0.005197713484180596
18,QAR,1.5,0.3,0.8414268813971842,0.8899806054754148,0.057909999999999996,0.04939538179925004,2.251765,7.0,0.005870439248944371
18,QAR + score priority,1.5,0.05,0.8619545290851734,0.9201477175489732,0.06488,0.05612869685135387,3.725705,14.6,0.006447885901328886
20,Fixed + FCFS,1.7000000000000006,0.0,0.7016124692876917,0.9063633687996259,0.053360000000000005,0.044617545670034744,4.03493,25.6,0.04174190771574909
20,Score priority,1.6000000000000005,0.0,0.8482472408277808,0.9187157122954741,0.06402,0.05526072167821955,7.40407,38.8,0.015221191072788591
20,QAR,1.5,0.3,0.8089225658256181,0.872814806169198,0.05458999999999999,0.04620364312534163,2.41135,7.6,0.022586905709241645
20,QAR + score priority,1.5,0.05,0.85003398036621,0.9155696652614456,0.06181000000000001,0.053058273703759304,4.356115,15.2,0.0075328466592825116
