condition,RST_mean_s,IT_mean_s,interaction_cycle_s,request_rate_per_robot_h,operator_service_rate_h,capacity_ratio
high_Rst,23.410000,4.560000,27.970000,128.709331,789.473684,6.133772
low_Rst,11.300000,4.560000,15.860000,226.986129,789.473684,3.478070
